loopNumber	millisecondsToAppear
1	2
2	2
3	1
4	1
5	1
6	1
7	2
8	2
9	7
10	3
11	1
12	20
13	17
14	30
15	5
16	4
17	8
18	1
19	3
20	5
21	7
22	4
23	3
24	2
25	12
26	6
27	2
28	2
29	4
30	2
31	3
32	6
33	3
34	12
35	5
36	3
37	2
38	1
39	2
40	5
41	1
42	4
43	1
44	5
45	10
46	4
47	7
48	1
49	4
50	6
51	2
52	2
53	1
54	1
55	1
56	2
57	6
58	5
59	1
60	1
61	2
62	11
63	6
64	8
65	4
66	1
67	4
68	5
69	2
70	3
71	1
72	2
73	21
74	5
75	5
76	7
77	1
78	2
79	3
80	3
81	2
82	5
83	9
84	10
85	5
86	4
87	1
88	2
89	1
90	3
91	6
92	6
93	4
94	11
95	1
96	1
97	3
98	1
99	10
100	2
101	1
102	2
103	1
104	4
105	5
106	5
107	9
108	7
109	5
110	1
111	2
112	3
113	7
114	7
115	7
116	1
117	1
118	4
119	1
120	10
121	5
122	2
123	8
124	12
125	10
126	2
127	8
128	7
129	1
130	9
131	11
132	9
133	6
134	9
135	1
136	4
137	1
138	8
139	3
140	3
141	1
142	1
143	1
144	1
145	2
146	1
147	2
148	6
149	7
150	6
151	2
152	1
153	1
154	2
155	4
156	4
157	4
158	1
159	4
160	17
161	7
162	3
163	2
164	1
165	4
166	1
167	3
168	8
169	6
170	8
171	3
172	2
173	1
174	17
175	14
176	7
177	1
178	3
179	2
180	1
181	8
182	7
183	7
184	1
185	1
186	2
187	1
188	7
189	9
190	7
191	9
192	1
193	1
194	1
195	1
196	1
197	2
198	6
199	1
200	9
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	6
212	7
213	8
214	1
215	1
216	1
217	1
218	0
219	2
220	1
221	10
222	1
223	1
224	3
225	1
226	1
227	1
228	1
229	1
230	0
231	5
232	3
233	1
234	2
235	1
236	1
237	1
238	6
239	1
240	10
241	7
242	3
243	11
244	17
245	9
246	1
247	2
248	2
249	12
250	4
251	5
252	1
253	1
254	16
255	5
256	14
257	17
258	3
259	17
260	2
261	1
262	21
263	2
264	15
265	4
