loopNumber	millisecondsToAppear
1	1
2	1
3	1
4	0
5	1
6	1
7	2
8	1
9	2
10	1
11	1
12	10
13	1
14	1
15	10
16	2
17	1
18	8
19	4
20	1
21	8
22	2
23	13
24	5
25	3
26	27
27	23
28	2
29	4
30	15
31	1
32	28
33	32
34	6
35	14
36	15
37	6
38	18
39	4
40	28
41	40
42	7
43	1
44	7
45	16
46	16
47	15
48	9
49	17
50	3
51	8
52	2
53	9
54	4
55	1
56	14
57	18
58	27
59	2
60	20
61	23
62	2
63	31
64	11
65	4
66	6
67	4
68	7
69	42
70	2
71	2
72	18
73	31
74	22
75	12
76	19
77	44
78	25
79	33
80	23
81	17
82	26
83	28
84	23
85	77
86	48
87	31
88	13
89	37
90	31
91	20
92	19
93	16
94	47
95	74
96	58
97	26
98	25
99	45
100	45
101	21
102	30
103	48
104	15
105	47
106	25
107	40
108	127
109	39
110	3
111	28
112	22
113	39
114	22
115	36
116	50
117	30
118	7
119	15
120	22
121	34
122	3
123	18
124	51
125	16
126	33
127	50
128	60
129	30
130	7
131	12
132	37
133	58
134	85
135	89
136	27
137	21
138	86
139	2
140	4
141	65
142	9
143	15
144	51
145	12
146	2
147	31
148	50
149	28
150	31
151	96
152	16
153	123
154	46
155	16
156	46
157	37
158	63
159	5
160	6
161	52
162	2
163	4
164	32
165	36
166	71
167	85
168	66
169	92
170	35
171	31
172	30
173	3
174	29
175	72
176	31
177	141
178	25
179	27
180	3
181	33
182	37
183	34
184	17
185	75
186	61
187	68
188	80
189	27
190	8
191	31
192	69
193	12
194	44
195	42
196	48
197	73
198	79
199	27
200	57
201	44
202	19
203	8
204	45
205	32
206	41
207	19
208	83
209	149
210	10
211	51
212	78
213	67
214	64
215	48
216	56
217	31
218	96
219	66
220	75
221	38
222	77
223	155
224	32
225	73
226	5
227	24
228	7
229	70
230	46
231	55
232	23
233	71
234	18
235	63
236	10
237	160
238	10
239	37
240	89
241	9
242	18
243	22
244	5
245	47
246	66
247	13
248	55
249	128
250	135
251	209
252	140
253	137
254	92
255	202
256	34
257	132
258	79
259	115
260	194
261	76
262	59
263	126
264	106
265	5
266	30
267	55
268	86
269	107
270	148
271	54
272	27
273	61
274	36
275	67
276	127
277	84
278	138
279	42
280	98
281	37
282	82
283	101
284	96
285	10
286	156
287	60
288	55
289	73
290	78
291	158
292	70
293	77
294	22
295	6
296	145
297	105
298	76
299	64
300	77
301	99
302	64
303	79
304	90
305	129
306	84
307	26
308	22
309	31
310	62
311	35
312	111
313	94
314	42
315	85
316	14
317	63
318	4
319	168
320	61
321	89
322	4
323	78
324	27
325	178
326	98
327	29
328	62
329	5
330	89
331	140
332	64
333	122
334	76
335	119
336	48
337	4
338	45
339	73
340	11
341	28
342	144
343	59
344	95
345	30
346	56
347	85
348	4
349	100
350	20
351	101
352	36
353	42
354	4
355	91
356	15
357	133
358	78
359	20
360	52
361	60
362	25
363	143
364	44
365	68
366	24
367	31
368	22
369	77
370	105
371	10
372	93
373	24
374	133
375	36
376	106
377	109
378	83
379	21
380	25
381	131
382	46
383	107
384	79
385	46
386	5
387	12
388	60
389	20
390	88
391	186
392	46
393	91
394	65
395	91
396	82
397	55
398	124
399	60
400	39
401	142
402	131
403	52
404	68
405	82
406	144
407	60
408	162
409	107
410	63
411	215
412	14
413	198
414	58
415	86
416	11
417	254
418	137
419	57
420	158
421	32
422	37
423	6
424	96
425	106
426	180
427	57
428	13
429	56
430	7
431	58
432	226
433	32
434	95
435	41
436	143
437	49
438	152
439	85
440	64
441	166
442	47
443	107
444	82
445	152
446	120
447	20
448	214
449	14
450	226
451	141
452	67
453	140
454	213
455	61
456	120
457	77
458	142
459	41
460	148
461	16
462	101
463	39
464	152
465	8
466	137
467	168
468	42
469	113
470	41
471	135
472	65
473	16
474	124
475	33
476	34
477	85
478	33
479	215
480	32
481	233
482	27
483	51
484	120
485	110
486	128
487	18
488	115
489	46
490	177
491	342
492	147
493	84
494	287
495	128
496	72
497	60
498	7
499	12
500	6
501	116
502	184
503	155
504	106
505	192
506	260
507	45
508	248
509	145
510	42
511	114
512	125
513	14
514	185
515	56
516	203
517	73
518	168
519	81
520	195
521	74
522	104
523	56
524	44
525	95
526	74
527	88
528	145
529	60
530	278
531	22
532	50
533	48
534	350
535	146
536	303
537	43
538	52
539	257
540	140
541	53
542	45
543	152
544	400
545	89
546	164
547	57
548	58
549	103
550	115
551	94
552	170
553	350
554	232
555	62
556	221
557	46
558	98
559	8
560	129
561	70
562	33
563	216
564	67
565	141
566	221
567	116
568	19
569	247
570	325
571	33
572	236
573	37
574	260
575	201
576	47
577	411
578	106
579	206
580	413
581	41
582	58
583	236
584	329
585	100
586	20
587	341
588	525
589	402
590	148
591	9
592	167
593	83
594	96
595	42
596	111
597	152
598	209
599	132
