loopNumber	millisecondsToAppear
1	29
2	105
3	119
4	45
5	43
6	35
7	66
8	31
9	35
10	54
11	64
12	47
13	6
14	97
15	37
16	6
17	33
18	39
19	25
20	30
21	4
22	24
23	44
24	36
25	32
26	127
27	45
28	45
29	22
30	4
31	37
32	50
33	31
34	5
35	30
36	51
37	43
38	9
39	261
40	71
41	7
42	93
43	58
44	43
45	19
46	7
47	27
48	31
49	29
50	4
51	49
52	33
53	7
54	33
55	31
56	27
57	40
58	35
59	30
60	7
61	60
62	35
63	26
64	41
65	33
66	32
67	38
68	40
69	28
70	30
71	8
72	4
73	47
74	4
75	7
76	6
77	62
78	33
79	6
80	48
81	35
82	33
83	29
84	28
85	44
86	29
87	5
88	82
89	37
90	32
91	43
92	45
93	29
94	29
95	56
96	68
97	11
98	77
99	5
100	69
101	34
102	90
103	35
104	36
105	36
106	34
107	46
108	50
109	32
110	43
111	10
112	85
113	39
114	28
115	32
116	30
117	29
118	5
119	58
120	14
121	29
122	60
123	52
124	53
125	61
126	5
127	78
128	8
129	65
130	33
131	65
132	36
133	8
134	67
135	47
136	6
137	65
138	34
139	63
140	55
141	42
142	6
143	36
144	34
145	8
146	79
147	35
148	42
149	52
150	6
151	6
152	57
153	33
154	7
155	59
156	32
157	64
158	60
159	65
160	43
161	6
162	61
163	8
164	110
165	54
166	6
167	36
168	6
169	63
170	58
171	32
172	36
173	13
174	59
175	38
176	5
177	61
178	31
179	6
180	57
181	39
182	13
183	140
184	5
185	36
186	59
187	35
188	6
189	59
190	40
191	5
192	5
193	57
194	5
195	70
196	5
197	65
198	5
199	62
200	34
201	38
202	5
203	164
204	5
205	5
206	89
207	19
208	58
209	5
210	64
211	79
212	6
213	87
214	37
215	45
216	41
217	6
218	61
219	6
220	73
221	5
222	68
223	6
224	79
225	5
226	56
227	9
228	5
229	16
230	63
231	40
232	6
233	90
234	38
235	52
236	7
237	6
238	9
239	36
240	6
241	63
242	6
243	54
244	6
245	65
246	6
247	71
248	57
249	39
250	63
251	37
252	42
253	6
254	64
255	6
256	67
257	40
258	7
259	79
260	48
261	6
262	68
263	6
264	69
265	6
266	95
267	50
268	6
269	65
270	41
271	114
272	92
273	8
274	67
275	75
276	67
277	5
278	120
279	59
280	46
281	7
282	62
283	6
284	6
285	111
286	7
287	191
288	8
289	53
290	9
291	6
292	6
293	102
294	9
295	135
296	88
297	47
298	10
299	97
300	6
301	86
302	22
303	56
304	9
305	80
306	10
307	91
308	7
309	97
310	6
311	9
312	10
313	166
314	6
315	19
316	92
317	94
318	6
319	8
320	46
321	44
322	12
323	74
324	97
325	9
326	6
327	6
328	71
329	22
330	87
331	66
332	93
333	10
334	8
335	119
336	12
337	6
338	20
339	83
340	82
341	7
342	49
343	12
344	61
345	8
346	24
347	80
348	7
349	103
350	42
351	133
352	73
353	68
354	61
355	50
356	19
357	97
358	93
359	46
360	10
361	7
362	93
363	52
364	6
365	79
366	21
367	93
368	8
369	77
370	43
371	7
372	136
373	8
374	7
375	9
376	7
377	10
378	80
379	22
380	112
381	7
382	10
383	86
384	11
385	8
386	8
387	9
388	12
389	107
390	9
391	6
392	24
393	84
394	8
395	92
396	22
397	110
398	20
399	89
400	7
401	89
402	337
403	24
404	89
405	55
406	9
407	22
408	31
409	8
410	80
411	7
412	9
413	53
414	62
415	76
416	12
417	87
418	9
419	110
420	26
421	98
422	318
423	54
424	11
425	65
426	12
427	14
428	117
429	24
430	26
431	9
432	82
433	10
434	93
435	11
436	51
437	100
438	73
439	11
440	65
441	97
442	56
443	20
444	8
445	8
446	20
447	227
448	73
449	21
450	93
451	9
452	47
453	7
454	7
455	8
456	8
457	250
458	7
459	7
460	52
461	53
462	90
463	63
464	8
465	25
466	101
467	48
468	8
469	68
470	6
471	93
472	10
473	75
474	406
475	23
476	98
477	12
478	10
479	58
480	75
481	54
482	88
483	83
484	8
485	21
486	114
487	55
488	8
489	96
490	35
491	106
492	88
493	110
494	7
495	52
496	7
497	7
498	7
499	93
500	111
501	79
502	69
503	24
504	118
505	7
506	8
507	8
508	112
509	14
510	14
511	11
512	443
513	13
514	80
515	265
516	10
517	15
518	175
519	233
520	130
521	14
522	8
523	27
524	230
525	13
526	11
527	121
528	10
529	11
530	8
531	109
532	381
533	83
534	33
535	114
536	242
537	112
538	29
539	13
540	9
541	331
542	8
543	145
544	76
545	92
546	27
547	116
548	8
549	66
550	8
551	9
552	7
553	134
554	9
555	212
556	187
557	87
558	8
559	25
560	125
561	319
562	8
563	8
564	32
565	121
566	218
567	249
568	94
569	201
570	116
571	94
572	204
573	14
574	13
575	250
576	9
577	170
578	9
579	10
580	253
581	15
582	18
583	9
584	15
585	204
586	158
587	141
588	13
589	402
590	89
591	136
592	14
593	9
594	18
595	235
596	87
597	13
598	64
599	197
600	317
601	190
602	156
603	47
604	194
605	12
606	15
607	9
608	78
609	193
610	91
611	19
612	115
613	98
614	89
615	23
616	271
617	12
618	12
619	101
620	257
621	12
622	76
623	82
624	117
625	227
626	9
627	11
628	75
629	12
630	10
631	111
632	126
633	107
634	105
635	19
636	84
637	99
638	495
639	171
640	12
641	11
642	9
643	11
644	78
645	114
646	157
647	319
648	16
649	89
650	429
651	67
652	299
653	10
654	13
655	14
656	37
657	10
658	35
659	81
660	152
661	107
662	197
663	9
664	15
665	15
666	12
667	12
668	8
669	367
670	73
671	92
672	212
673	131
674	112
675	38
676	30
677	17
678	163
