loopNumber	millisecondsToAppear
1	2
2	3
3	2
4	2
5	3
6	2
7	1
8	2
9	2
10	1
11	2
12	1
13	2
14	3
15	2
16	1
17	2
18	1
19	2
20	1
21	5
22	1
23	2
24	2
25	3
26	3
27	3
28	4
29	1
30	3
31	2
32	1
33	1
34	3
35	2
36	2
37	2
38	1
39	3
40	1
41	2
42	4
43	3
44	2
45	4
46	2
47	2
48	7
49	3
50	2
51	1
52	2
53	2
54	2
55	1
56	3
57	1
58	2
59	2
60	1
61	5
62	1
63	3
64	2
65	3
66	1
67	1
68	1
69	1
70	0
71	12
72	1
73	18
74	3
75	2
76	2
77	1
78	2
79	2
80	2
81	1
82	1
83	4
84	3
85	1
86	2
87	3
88	1
89	1
90	2
91	1
92	3
93	1
94	1
95	1
96	1
97	1
98	1
99	2
100	1
101	3
102	2
103	1
104	3
105	2
106	2
107	3
108	2
109	1
110	9
111	2
112	3
113	3
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	3
122	2
123	2
124	3
125	3
126	4
127	20
128	2
129	2
130	3
131	1
132	2
133	3
134	5
135	4
136	2
137	2
138	5
139	1
140	2
141	1
142	1
143	2
144	2
145	2
146	1
147	5
148	2
149	2
150	26
151	2
152	11
153	6
154	2
155	2
156	5
157	1
158	3
159	1
160	4
161	1
162	1
163	1
164	34
165	1
166	2
167	3
168	2
169	5
170	2
171	1
172	1
173	3
174	1
175	2
176	1
177	2
178	5
179	1
180	1
181	3
182	2
183	4
184	3
185	2
186	12
187	8
188	1
189	2
190	2
191	3
192	3
193	1
194	1
195	2
196	2
197	1
198	2
199	2
200	1
201	4
202	2
203	1
204	1
205	2
206	2
207	1
208	1
209	3
210	2
211	2
212	1
213	2
214	3
215	7
216	3
217	1
218	4
219	3
220	3
221	2
222	16
223	2
224	3
225	2
226	2
227	3
228	1
229	1
230	2
231	1
232	2
233	2
234	3
235	2
236	1
237	1
238	6
239	2
240	3
241	2
242	2
243	1
244	1
245	5
246	6
247	1
248	2
249	1
250	5
251	1
252	2
253	18
254	3
255	15
256	5
257	7
258	3
259	1
260	3
261	7
262	5
263	1
264	3
265	2
266	1
267	2
268	3
269	2
270	1
271	4
272	1
273	1
274	4
275	1
276	5
277	2
278	1
279	1
280	4
281	3
282	2
283	1
284	2
285	5
286	2
287	6
288	1
289	3
290	6
291	3
292	2
293	0
294	3
295	9
296	3
297	8
298	3
299	8
300	2
301	1
302	2
303	7
304	4
305	2
306	1
307	1
308	3
309	7
310	6
311	1
312	1
313	2
314	1
315	2
316	3
317	3
318	2
319	3
320	2
321	2
322	3
323	5
324	27
325	2
326	1
327	4
328	6
329	4
330	4
331	2
332	3
333	2
334	4
335	3
336	1
337	2
338	3
339	1
340	1
341	6
342	3
343	4
344	1
345	1
346	3
347	3
348	3
349	4
350	11
351	4
352	5
353	9
354	4
355	5
356	4
357	1
358	2
359	1
360	3
361	3
362	1
363	1
364	3
365	4
366	2
367	1
368	3
369	3
370	5
371	3
372	4
373	8
374	14
375	7
376	1
377	4
378	6
379	5
380	2
381	4
382	1
383	4
384	1
385	1
386	1
387	1
388	4
389	2
390	3
391	1
392	3
393	2
394	1
395	3
396	1
397	2
398	1
399	3
400	6
401	1
402	2
403	2
404	1
405	4
406	3
407	0
408	2
409	4
410	3
411	2
412	3
413	1
414	1
415	1
416	3
417	10
418	2
419	3
420	1
421	4
422	2
423	2
424	3
425	1
426	3
427	2
428	7
429	1
430	1
431	2
432	1
433	2
434	2
435	2
436	3
437	2
438	1
439	2
440	9
441	1
442	2
443	6
444	1
445	3
446	4
447	1
448	2
449	1
450	1
451	4
452	1
453	1
454	3
455	1
456	1
457	1
458	1
459	2
460	2
461	3
462	2
463	2
464	2
465	2
466	2
467	1
468	2
469	4
470	1
471	1
472	2
473	1
474	1
475	10
476	4
477	1
478	1
479	2
480	1
481	2
482	2
483	3
484	1
485	2
486	1
487	2
488	1
489	1
490	2
491	2
492	2
493	2
494	2
495	1
496	2
497	1
498	1
499	2
500	1
501	1
502	1
503	2
504	2
505	5
506	1
507	2
508	1
509	6
510	4
511	3
512	1
513	2
514	1
515	5
516	3
517	4
518	3
519	1
520	1
521	2
522	3
523	2
524	3
525	1
526	1
527	1
528	1
529	2
530	2
531	2
532	2
533	2
534	2
535	2
536	1
537	1
538	4
539	2
540	2
541	3
542	4
543	2
544	3
545	2
546	6
547	2
548	1
549	3
550	2
551	2
552	2
553	2
554	2
555	5
556	3
557	3
558	1
559	5
560	2
561	2
562	3
563	1
564	1
565	3
566	6
567	2
568	3
569	2
570	1
571	1
572	1
573	4
574	2
575	2
576	1
577	1
578	2
579	2
580	3
581	2
582	3
583	1
584	3
585	2
586	2
587	5
588	2
589	2
590	1
591	2
592	3
593	3
594	2
595	2
596	2
597	2
598	3
599	1
600	4
601	3
602	2
603	4
604	4
605	1
606	4
607	2
608	1
609	2
610	2
611	3
612	2
613	1
614	2
615	3
616	1
617	2
618	4
619	1
620	2
621	5
622	2
623	1
624	1
625	2
626	1
627	1
628	2
629	2
630	8
631	2
632	3
633	4
634	6
635	2
636	4
637	2
638	13
639	2
640	1
641	2
642	2
643	1
644	2
645	5
646	3
647	2
648	5
649	3
650	1
651	1
652	3
653	2
654	4
655	3
656	2
657	1
658	2
659	1
660	4
661	3
662	2
663	4
664	2
665	2
666	7
667	1
668	1
669	1
670	4
671	1
672	1
673	2
674	2
675	2
676	3
677	3
678	2
679	1
680	2
681	2
682	1
683	2
684	2
685	1
686	7
687	2
688	2
689	2
690	3
691	1
692	4
693	1
694	2
695	1
696	23
697	4
698	5
699	2
700	3
701	1
702	1
703	2
704	1
705	2
706	3
707	1
708	3
709	2
710	6
711	2
712	8
713	6
714	2
715	1
716	2
717	2
718	1
719	2
720	1
721	1
722	1
723	1
724	2
725	2
726	1
727	2
728	2
729	2
730	2
731	1
732	11
733	1
734	3
735	2
736	3
737	2
738	2
739	2
740	1
741	3
742	1
743	1
744	2
745	8
746	1
747	5
748	2
749	5
750	1
751	1
752	2
753	2
754	1
755	1
756	3
757	2
758	2
759	2
760	2
761	1
762	1
763	1
764	2
765	1
766	2
767	3
768	2
769	1
770	4
771	2
772	2
773	1
774	3
775	1
776	2
777	1
778	1
779	2
780	2
781	3
782	1
783	6
784	2
785	1
786	3
787	1
788	4
789	2
790	1
791	3
792	5
793	2
794	2
795	2
796	1
797	19
798	2
799	1
800	2
801	3
802	3
803	4
804	2
805	1
806	2
807	2
808	2
809	1
810	1
811	2
812	4
813	3
814	9
815	6
816	3
817	5
818	2
819	6
820	3
821	8
822	2
823	2
824	6
825	2
826	3
827	2
828	7
829	2
830	2
831	1
832	8
833	3
834	2
835	5
836	2
837	4
838	2
839	4
840	1
841	5
842	2
843	2
844	3
845	1
846	17
847	3
848	3
849	3
850	3
851	4
852	3
853	2
854	6
855	3
856	3
857	2
858	1
859	3
860	1
861	2
862	3
863	4
864	3
865	4
866	2
867	5
868	2
869	3
870	2
871	2
872	1
873	4
874	4
875	2
876	2
877	2
878	2
879	1
880	1
881	3
882	4
883	2
884	3
885	2
886	2
887	3
888	2
889	4
890	3
891	2
892	4
893	3
894	2
895	2
896	1
897	2
898	2
899	1
900	2
901	1
902	1
903	3
904	2
905	3
906	1
907	2
908	2
909	2
910	1
911	2
912	2
913	2
914	1
915	2
916	2
917	3
918	1
919	7
920	6
921	1
922	3
923	2
924	1
925	2
926	2
927	3
928	3
929	2
930	2
931	3
932	2
933	1
934	1
935	3
936	2
937	2
938	2
939	1
940	2
941	2
942	2
943	2
944	3
945	3
